"wavenumber","intensity"
674.9918,0.1984434
678.8489,0.1969296
682.706,0.1968581
686.5631,0.1978212
690.4202,0.1990591
694.2773,0.2003614
698.1344,0.2017
701.9915,0.2023876
705.8486,0.2033395
709.7057,0.2032931
713.5628,0.2032856
717.4199,0.2031373
721.277,0.2012484
725.1341,0.1974952
728.9911,0.1949406
732.8483,0.1937672
736.7054,0.1934818
740.5624,0.1925993
744.4196,0.1915541
748.2767,0.1908337
752.1337,0.1908438
755.9908,0.1907791
759.848,0.1898518
763.705,0.1881314
767.5621,0.1876999
771.4193,0.1877114
775.2763,0.1877318
779.1334,0.187711
782.9905,0.18724
786.8476,0.1863842
790.7047,0.1860078
794.5618,0.1854497
798.4189,0.1847566
802.276,0.1841697
806.1331,0.1831535
809.9902,0.1832231
813.8473,0.1834463
817.7043,0.1825951
821.5615,0.1823228
825.4186,0.1823491
829.2756,0.181812
833.1328,0.1810589
836.9899,0.1809827
840.8469,0.1809325
844.704,0.180319
848.5612,0.1794561
852.4182,0.1782183
856.2753,0.1778335
860.1324,0.1778367
863.9895,0.1769773
867.8466,0.1763062
871.7037,0.176947
875.5608,0.1786993
879.4179,0.1806916
883.275,0.1820144
887.1321,0.1836686
890.9892,0.1861617
894.8463,0.1883953
898.7034,0.1890367
902.5605,0.1884535
906.4176,0.187367
910.2747,0.1863731
914.1318,0.1852332
917.9889,0.1838892
921.8459,0.1830084
925.7031,0.1827914
929.5602,0.1829141
933.4172,0.182579
937.2744,0.1821973
941.1315,0.1823134
944.9885,0.1828608
948.8456,0.1836112
952.7028,0.1855157
956.5598,0.1884482
960.4169,0.1914353
964.274,0.1941971
968.1311,0.1970822
971.9882,0.2003998
975.8453,0.20467
979.7024,0.2110441
983.5595,0.217638
987.4166,0.2212928
991.2737,0.2227499
995.1308,0.2247221
998.9879,0.2269616
1002.845,0.2286464
1006.702,0.2286756
1010.559,0.2283928
1014.416,0.2287104
1018.273,0.2293559
1022.13,0.2303874
1025.988,0.230904
1029.845,0.2308793
1033.702,0.2305313
1037.559,0.2303378
1041.416,0.2309347
1045.273,0.2315675
1049.13,0.2313522
1052.987,0.2298438
1056.844,0.2274036
1060.701,0.2247166
1064.559,0.222327
1068.416,0.2199498
1072.273,0.218692
1076.13,0.2184375
1079.987,0.2181859
1083.844,0.2184004
1087.701,0.2198456
1091.558,0.2221616
1095.415,0.2248961
1099.272,0.2267792
1103.13,0.2269013
1106.987,0.2257158
1110.844,0.2230831
1114.701,0.2196577
1118.558,0.2165952
1122.415,0.2143304
1126.272,0.2121372
1130.129,0.2093696
1133.986,0.2074397
1137.843,0.207321
1141.7,0.2094364
1145.558,0.2113715
1149.415,0.2116286
1153.272,0.2105744
1157.129,0.209236
1160.986,0.2063884
1164.843,0.2016629
1168.7,0.1962712
1172.557,0.1906819
1176.414,0.1848829
1180.271,0.1797921
1184.129,0.1761798
1187.986,0.1751954
1191.843,0.1771062
1195.7,0.1808464
1199.557,0.1843923
1203.414,0.1862829
1207.271,0.184384
1211.128,0.179109
1214.985,0.1752758
1218.842,0.1751217
1222.699,0.1770941
1226.557,0.1803817
1230.414,0.1844927
1234.271,0.1872424
1238.128,0.1872892
1241.985,0.1870496
1245.842,0.1875883
1249.699,0.1876891
1253.556,0.1868539
1257.413,0.1865221
1261.271,0.1870097
1265.128,0.1881241
1268.985,0.1904177
1272.842,0.194348
1276.699,0.1987892
1280.556,0.2013925
1284.413,0.199667
1288.27,0.1966102
1292.127,0.1953194
1295.984,0.195349
1299.841,0.1969246
1303.698,0.2008582
1307.556,0.206151
1311.413,0.2107921
1315.27,0.2133381
1319.127,0.213179
1322.984,0.2111271
1326.841,0.2098237
1330.698,0.2105646
1334.555,0.211718
1338.412,0.2107108
1342.27,0.207737
1346.127,0.2051265
1349.984,0.2045647
1353.841,0.2056995
1357.698,0.2066065
1361.555,0.20687
1365.412,0.2070673
1369.269,0.2073462
1373.126,0.2053337
1376.983,0.1995035
1380.84,0.1931501
1384.698,0.1873688
1388.555,0.1827753
1392.412,0.1806866
1396.269,0.1806032
1400.126,0.1815743
1403.983,0.1828462
1407.84,0.1836704
1411.697,0.1849973
1415.554,0.1877742
1419.411,0.1933726
1423.269,0.1987921
1427.125,0.2012972
1430.983,0.2006755
1434.84,0.1970748
1438.697,0.1921857
1442.554,0.1897826
1446.411,0.188378
1450.268,0.1875144
1454.125,0.1867074
1457.982,0.1841412
1461.839,0.1803697
1465.697,0.1763069
1469.554,0.1728474
1473.411,0.1703935
1477.268,0.1692284
1481.125,0.1684646
1484.982,0.1660347
1488.839,0.1623415
1492.696,0.1602919
1496.553,0.1593433
1500.41,0.1578666
1504.268,0.1563948
1508.125,0.1543048
1511.982,0.1530676
1515.839,0.1521577
1519.696,0.151243
1523.553,0.1509897
1527.41,0.1511432
1531.267,0.1510879
1535.124,0.1508276
1538.981,0.1507378
1542.838,0.1508733
1546.696,0.1509242
1550.553,0.1510871
1554.41,0.1513659
1558.267,0.1511813
1562.124,0.150852
1565.981,0.1508332
1569.838,0.1510299
1573.695,0.1511808
1577.552,0.1511313
1581.409,0.1510553
1585.267,0.1514375
1589.124,0.1521374
1592.981,0.1527704
1596.838,0.1531608
1600.695,0.1532091
1604.552,0.1531175
1608.409,0.1535873
1612.266,0.1544682
1616.123,0.1555628
1619.98,0.1565421
1623.837,0.1573663
1627.695,0.1578944
1631.552,0.1583691
1635.409,0.1587826
1639.266,0.1587502
1643.123,0.1586279
1646.98,0.1582865
1650.837,0.1575845
1654.694,0.1566883
1658.551,0.1557915
1662.408,0.1546757
1666.266,0.1535266
1670.123,0.1523041
1673.98,0.150955
1677.837,0.149813
1681.694,0.1487729
1685.551,0.1470191
1689.408,0.1457478
1693.265,0.144944
1697.122,0.1440192
1700.979,0.1427434
1704.837,0.1418389
1708.694,0.141448
1712.551,0.1412549
1716.408,0.1405432
1720.265,0.139882
1724.122,0.1394929
1727.979,0.1391842
1731.836,0.1390235
1735.693,0.1389997
1739.55,0.1386581
1743.407,0.1383037
1747.265,0.1379545
1751.122,0.1377502
1754.979,0.1374476
1758.836,0.1370413
1762.693,0.1366901
1766.55,0.1366811
1770.407,0.136876
1774.264,0.1368187
1778.121,0.1364719
1781.978,0.1364255
1785.836,0.1363528
1789.693,0.136252
1793.55,0.1360037
1797.407,0.1357431
1801.264,0.1356545
1805.121,0.1355601
1808.978,0.1352627
1812.835,0.1351102
1816.692,0.1349227
1820.549,0.1348249
1824.406,0.1348614
1828.264,0.1349992
1832.121,0.1349292
1835.978,0.1346241
1839.835,0.1343443
1843.692,0.1342684
1847.549,0.1341477
1851.406,0.13383
1855.263,0.1334878
1859.12,0.1335363
1862.977,0.1334417
1866.835,0.1334563
1870.692,0.1337046
1874.549,0.1335235
1878.406,0.1331785
1882.263,0.1329591
1886.12,0.1330981
1889.977,0.1333478
1893.834,0.1335612
1897.691,0.1336886
1901.548,0.1335153
1905.406,0.1333882
1909.263,0.1336952
1913.12,0.1339114
1916.977,0.1338123
1920.834,0.1340685
1924.691,0.1343561
1928.548,0.1343609
1932.405,0.134209
1936.262,0.1342923
1940.119,0.1346655
1943.976,0.1348581
1947.834,0.1348845
