"wavenumber","intensity"
674.9918,0.7077523
678.8489,0.7204182
682.706,0.7204182
686.5631,0.7246218
690.4202,0.727948
694.2773,0.7295182
698.1344,0.728546
701.9915,0.7262157
705.8486,0.7242778
709.7057,0.7251067
713.5628,0.7241264
717.4199,0.7188797
721.277,0.7149001
725.1341,0.7138664
728.9911,0.7152457
732.8483,0.7118855
736.7054,0.6999556
740.5624,0.6856378
744.4196,0.673817
748.2767,0.664715
752.1337,0.6584311
755.9908,0.6530084
759.848,0.6463258
763.705,0.6396567
767.5621,0.6340466
771.4193,0.6291894
775.2763,0.6247719
779.1334,0.6195601
782.9905,0.6133424
786.8476,0.6066555
790.7047,0.6002138
794.5618,0.5941628
798.4189,0.5879045
802.276,0.5823506
806.1331,0.5777404
809.9902,0.5736934
813.8473,0.5700405
817.7043,0.5662499
821.5615,0.562786
825.4186,0.5626247
829.2756,0.5670081
833.1328,0.5715132
836.9899,0.5675282
840.8469,0.560283
844.704,0.5553848
848.5612,0.5524938
852.4182,0.5508027
856.2753,0.5498603
860.1324,0.548246
863.9895,0.5462574
867.8466,0.5447066
871.7037,0.5429766
875.5608,0.5415116
879.4179,0.5411109
883.275,0.5415133
887.1321,0.5419397
890.9892,0.5417055
894.8463,0.5421714
898.7034,0.5426457
902.5605,0.5439296
906.4176,0.547068
910.2747,0.5524587
914.1318,0.5589185
917.9889,0.5674466
921.8459,0.5810068
925.7031,0.5974692
929.5602,0.6037255
933.4172,0.5933869
937.2744,0.5794856
941.1315,0.5733176
944.9885,0.575798
948.8456,0.5831873
952.7028,0.5894001
956.5598,0.5940101
960.4169,0.5945152
964.274,0.5881789
968.1311,0.582253
971.9882,0.5798509
975.8453,0.5775669
979.7024,0.5756288
983.5595,0.573827
987.4166,0.5703965
991.2737,0.5666313
995.1308,0.5648361
998.9879,0.5647593
1002.845,0.5635137
1006.702,0.5624834
1010.559,0.5624935
1014.416,0.5627938
1018.273,0.5656587
1022.13,0.5722349
1025.988,0.579844
1029.845,0.5828777
1033.702,0.5787817
1037.559,0.5746009
1041.416,0.5724379
1045.273,0.5696742
1049.13,0.5687258
1052.987,0.5710626
1056.844,0.5761577
1060.701,0.5828753
1064.559,0.5898139
1068.416,0.5954618
1072.273,0.5993776
1076.13,0.6007997
1079.987,0.5986956
1083.844,0.5948305
1087.701,0.5916121
1091.558,0.5902168
1095.415,0.5906805
1099.272,0.5934772
1103.13,0.5999612
1106.987,0.6078531
1110.844,0.6149756
1114.701,0.6228369
1118.558,0.6303331
1122.415,0.6345527
1126.272,0.6281096
1130.129,0.6100428
1133.986,0.5926291
1137.843,0.584911
1141.7,0.5860084
1145.558,0.591823
1149.415,0.600019
1153.272,0.6110433
1157.129,0.6255265
1160.986,0.6444256
1164.843,0.6660042
1168.7,0.6819641
1172.557,0.6827057
1176.414,0.6704188
1180.271,0.6563631
1184.129,0.6517663
1187.986,0.6585231
1191.843,0.6705094
1195.7,0.6819562
1199.557,0.6894131
1203.414,0.6933607
1207.271,0.6948176
1211.128,0.6932296
1214.985,0.6864024
1218.842,0.6726494
1222.699,0.661644
1226.557,0.6633989
1230.414,0.6749035
1234.271,0.6877489
1238.128,0.6964843
1241.985,0.700025
1245.842,0.7009297
1249.699,0.7030771
1253.556,0.7065433
1257.413,0.7088441
1261.271,0.7096566
1265.128,0.7100521
1268.985,0.7095407
1272.842,0.7082182
1276.699,0.7075664
1280.556,0.7062132
1284.413,0.703644
1288.27,0.7014364
1292.127,0.6990686
1295.984,0.6965801
1299.841,0.6946602
1303.698,0.6924536
1307.556,0.689117
1311.413,0.6848766
1315.27,0.6805819
1319.127,0.6760486
1322.984,0.6729294
1326.841,0.6734613
1330.698,0.6756204
1334.555,0.677035
1338.412,0.6779222
1342.27,0.679765
1346.127,0.6823413
1349.984,0.6864502
1353.841,0.6922372
1357.698,0.6978127
1361.555,0.7030486
1365.412,0.7082114
1369.269,0.711701
1373.126,0.7138622
1376.983,0.7129564
1380.84,0.7080315
1384.698,0.7004161
1388.555,0.6912671
1392.412,0.6831108
1396.269,0.6751788
1400.126,0.6701527
1403.983,0.6716901
1407.84,0.6794007
1411.697,0.690259
1415.554,0.6989503
1419.411,0.7020665
1423.269,0.6997438
1427.125,0.698153
1430.983,0.7012629
1434.84,0.7061377
