"wavenumber","intensity"
674.9918,0.3094212
678.8489,0.3121416
682.706,0.3119884
686.5631,0.3093847
690.4202,0.3071526
694.2773,0.3057587
698.1344,0.3072361
701.9915,0.312096
705.8486,0.3175605
709.7057,0.3214396
713.5628,0.3289025
717.4199,0.3465639
721.277,0.3725431
725.1341,0.3895141
728.9911,0.3916706
732.8483,0.3792796
736.7054,0.3524668
740.5624,0.3232919
744.4196,0.307066
748.2767,0.3012917
752.1337,0.2999731
755.9908,0.2998621
759.848,0.3002587
763.705,0.3006121
767.5621,0.3020296
771.4193,0.3036809
775.2763,0.3062617
779.1334,0.3099317
782.9905,0.3153976
786.8476,0.3230359
790.7047,0.3317683
794.5618,0.3327958
798.4189,0.3264738
802.276,0.322234
806.1331,0.3202256
809.9902,0.3183126
813.8473,0.316976
817.7043,0.315378
821.5615,0.3140186
825.4186,0.3133691
829.2756,0.315368
833.1328,0.3206019
836.9899,0.3287801
840.8469,0.3387411
844.704,0.349325
848.5612,0.3555345
852.4182,0.3526874
856.2753,0.3433262
860.1324,0.334617
863.9895,0.3325723
867.8466,0.3426162
871.7037,0.3572431
875.5608,0.3569654
879.4179,0.34275
883.275,0.3281609
887.1321,0.318758
890.9892,0.3151033
894.8463,0.314195
898.7034,0.3132626
902.5605,0.31001
906.4176,0.3033376
910.2747,0.2948952
914.1318,0.2877578
917.9889,0.2824467
921.8459,0.2777973
925.7031,0.2744452
929.5602,0.272784
933.4172,0.2723497
937.2744,0.2729181
941.1315,0.2748752
944.9885,0.27802
948.8456,0.2817053
952.7028,0.2864919
956.5598,0.2925587
960.4169,0.3008058
964.274,0.3128411
968.1311,0.326875
971.9882,0.3338366
975.8453,0.3278819
979.7024,0.3152672
983.5595,0.3044114
987.4166,0.2978218
991.2737,0.2919281
995.1308,0.2865642
998.9879,0.2861933
1002.845,0.2902697
1006.702,0.2986445
1010.559,0.3165568
1014.416,0.3427841
1018.273,0.3587845
1022.13,0.3543796
1025.988,0.3429865
1029.845,0.3323874
1033.702,0.3250657
1037.559,0.3226503
1041.416,0.322518
1045.273,0.3207719
1049.13,0.3156099
1052.987,0.3090161
1056.844,0.3043073
1060.701,0.3039646
1064.559,0.3076764
1068.416,0.3136668
1072.273,0.3224015
1076.13,0.334632
1079.987,0.3482461
1083.844,0.359645
1087.701,0.3668617
1091.558,0.3705692
1095.415,0.3715832
1099.272,0.3710238
1103.13,0.3699887
1106.987,0.3691585
1110.844,0.3688669
1114.701,0.3689536
1118.558,0.3682077
1122.415,0.3659554
1126.272,0.3626823
1130.129,0.3589771
1133.986,0.3544607
1137.843,0.3491222
1141.7,0.3438948
1145.558,0.338484
1149.415,0.3326839
1153.272,0.3256123
1157.129,0.3180588
1160.986,0.3119817
1164.843,0.3080176
1168.7,0.307802
1172.557,0.310221
1176.414,0.3086418
1180.271,0.3018044
1184.129,0.2935649
1187.986,0.2879885
1191.843,0.2867105
1195.7,0.2898669
1199.557,0.2960241
1203.414,0.302471
1207.271,0.3077526
1211.128,0.312161
1214.985,0.3170084
1218.842,0.3235896
1222.699,0.3309446
1226.557,0.3381807
1230.414,0.346829
1234.271,0.356237
1238.128,0.3621671
1241.985,0.3635464
1245.842,0.3627433
1249.699,0.3612511
1253.556,0.3599366
1257.413,0.3585359
1261.271,0.356572
1265.128,0.3549196
1268.985,0.3530959
1272.842,0.3510931
1276.699,0.3493626
1280.556,0.3476574
1284.413,0.3457051
1288.27,0.3434071
1292.127,0.3402462
1295.984,0.335561
1299.841,0.3290941
1303.698,0.3229579
1307.556,0.3175813
1311.413,0.312971
1315.27,0.3099981
1319.127,0.308173
1322.984,0.3075219
1326.841,0.3102023
1330.698,0.3182998
1334.555,0.3292316
1338.412,0.3357206
1342.27,0.3290813
1346.127,0.312897
1349.984,0.2966636
1353.841,0.2879968
1357.698,0.286951
1361.555,0.2928115
1365.412,0.3039459
1369.269,0.3117052
1373.126,0.3137112
1376.983,0.3128223
1380.84,0.3131904
1384.698,0.3136643
1388.555,0.3125189
1392.412,0.3118685
1396.269,0.3170942
1400.126,0.3302972
1403.983,0.3463332
1407.84,0.3577103
1411.697,0.3549739
1415.554,0.3354443
1419.411,0.2996404
1423.269,0.2759584
1427.125,0.2698883
1430.983,0.2716838
1434.84,0.2784151
1438.697,0.2861862
1442.554,0.2900406
1446.411,0.2926964
1450.268,0.2960645
1454.125,0.297665
1457.982,0.2942055
1461.839,0.2912979
1465.697,0.2935954
1469.554,0.3000638
1473.411,0.2984991
1477.268,0.2837745
1481.125,0.2708272
1484.982,0.260234
1488.839,0.2509088
1492.696,0.2474023
1496.553,0.2555618
1500.41,0.2793045
1504.268,0.2971159
1508.125,0.284375
1511.982,0.261689
1515.839,0.2523078
1519.696,0.2483383
1523.553,0.247976
1527.41,0.246271
1531.267,0.2435677
1535.124,0.241188
1538.981,0.2401039
1542.838,0.2394882
1546.696,0.2389818
1550.553,0.2385014
1554.41,0.2380861
1558.267,0.2377441
1562.124,0.2384821
1565.981,0.2399677
1569.838,0.2444663
1573.695,0.2522648
1577.552,0.2596126
1581.409,0.2551743
1585.267,0.2440607
1589.124,0.2356896
1592.981,0.2316836
1596.838,0.2303023
1600.695,0.2309689
1604.552,0.2333613
1608.409,0.2369622
1612.266,0.2403851
1616.123,0.2400994
1619.98,0.2372421
1623.837,0.2357917
1627.695,0.2353563
1631.552,0.2352502
1635.409,0.2355548
1639.266,0.2364037
1643.123,0.2370435
1646.98,0.2385313
1650.837,0.2402796
1654.694,0.2432798
1658.551,0.2467577
1662.408,0.252484
1666.266,0.2599901
1670.123,0.2681051
1673.98,0.2760505
1677.837,0.2829027
1681.694,0.2886105
1685.551,0.2940903
1689.408,0.2974881
1693.265,0.3014481
1697.122,0.3087256
1700.979,0.3226839
1704.837,0.3345628
1708.694,0.3436694
1712.551,0.3475039
1716.408,0.3483683
1720.265,0.3487146
1724.122,0.348755
1727.979,0.3469623
1731.836,0.3437972
1735.693,0.3388325
1739.55,0.3324766
1743.407,0.3183321
1747.265,0.2952521
1751.122,0.268384
1754.979,0.2542006
1758.836,0.2463301
1762.693,0.2406401
1766.55,0.2368713
1770.407,0.2338123
1774.264,0.2306719
1778.121,0.2288104
1781.978,0.2271825
1785.836,0.2260787
1789.693,0.2253463
1793.55,0.2244873
1797.407,0.2240538
1801.264,0.2242304
1805.121,0.2243735
1808.978,0.2244312
1812.835,0.2241641
1816.692,0.2238923
1820.549,0.2237796
1824.406,0.2235379
