"wavenumber","intensity"
674.9918,0.4020658
678.8489,0.3976687
682.706,0.3977882
686.5631,0.3970483
690.4202,0.3958991
694.2773,0.396233
698.1344,0.3964823
701.9915,0.3955371
705.8486,0.3941032
709.7057,0.3942996
713.5628,0.3945442
717.4199,0.3947386
721.277,0.3938165
725.1341,0.3931904
728.9911,0.3916185
732.8483,0.3909314
736.7054,0.3900236
740.5624,0.3883327
744.4196,0.387136
748.2767,0.3870456
752.1337,0.3857635
755.9908,0.3847058
759.848,0.3836114
763.705,0.3828326
767.5621,0.3814291
771.4193,0.3811093
775.2763,0.3802941
779.1334,0.3799747
782.9905,0.3810709
786.8476,0.3835104
790.7047,0.3869623
794.5618,0.3914119
798.4189,0.3966284
802.276,0.4062794
806.1331,0.4199954
809.9902,0.4230694
813.8473,0.4096878
817.7043,0.3970968
821.5615,0.3927537
825.4186,0.3935766
829.2756,0.3972063
833.1328,0.4078976
836.9899,0.4353064
840.8469,0.4590958
844.704,0.4379352
848.5612,0.4077358
852.4182,0.3950684
856.2753,0.3901826
860.1324,0.3861904
863.9895,0.3829566
867.8466,0.3807627
871.7037,0.3792222
875.5608,0.3776874
879.4179,0.3776136
883.275,0.3785284
887.1321,0.3807621
890.9892,0.3864754
894.8463,0.4007269
898.7034,0.4128485
902.5605,0.403901
906.4176,0.3859436
910.2747,0.3771707
914.1318,0.3741812
917.9889,0.372503
921.8459,0.3724854
925.7031,0.373097
929.5602,0.3733526
933.4172,0.3764145
937.2744,0.3820217
941.1315,0.385904
944.9885,0.3846562
948.8456,0.3832442
952.7028,0.3849956
956.5598,0.389945
960.4169,0.3985661
964.274,0.4167208
968.1311,0.4529186
971.9882,0.4883962
975.8453,0.4781874
979.7024,0.4390481
983.5595,0.4130456
987.4166,0.4102519
991.2737,0.4301426
995.1308,0.4643549
998.9879,0.4702353
1002.845,0.437481
1006.702,0.4079637
1010.559,0.394126
1014.416,0.3877862
1018.273,0.3839882
1022.13,0.3809373
1025.988,0.3789867
1029.845,0.3784252
1033.702,0.3794773
1037.559,0.3814977
1041.416,0.3857982
1045.273,0.3879876
1049.13,0.3847114
1052.987,0.3800559
1056.844,0.3773862
1060.701,0.3760956
1064.559,0.3755167
1068.416,0.3753926
1072.273,0.3754554
1076.13,0.3748563
1079.987,0.3749978
1083.844,0.3764053
1087.701,0.3781815
1091.558,0.3803514
1095.415,0.3861851
1099.272,0.3945465
1103.13,0.3975884
1106.987,0.3910847
1110.844,0.3835538
1114.701,0.3799341
1118.558,0.3783125
1122.415,0.3775294
1126.272,0.378321
1130.129,0.379994
1133.986,0.3839348
1137.843,0.3909341
1141.7,0.4014475
1145.558,0.4155848
1149.415,0.4316139
1153.272,0.4435095
1157.129,0.4528007
1160.986,0.4674255
1164.843,0.4842424
1168.7,0.4794171
1172.557,0.4454392
1176.414,0.4108215
1180.271,0.3926718
1184.129,0.3852403
1187.986,0.3822204
1191.843,0.3811343
1195.7,0.3809417
1199.557,0.3813206
1203.414,0.3824897
1207.271,0.3840423
1211.128,0.3868935
1214.985,0.3910784
1218.842,0.3940009
1222.699,0.3929725
1226.557,0.3903052
1230.414,0.3890611
1234.271,0.3887294
1238.128,0.3883086
1241.985,0.3893937
1245.842,0.3927566
1249.699,0.4012094
1253.556,0.4131275
1257.413,0.4137876
1261.271,0.4020326
1265.128,0.3935395
1268.985,0.3905428
1272.842,0.3899689
1276.699,0.3904042
1280.556,0.3927359
1284.413,0.3962119
1288.27,0.401694
1292.127,0.4092379
1295.984,0.4162124
1299.841,0.4221989
1303.698,0.4255127
1307.556,0.4146418
1311.413,0.4017791
1315.27,0.3991733
1319.127,0.4030023
1322.984,0.41023
1326.841,0.4186043
1330.698,0.4211163
1334.555,0.4181215
1338.412,0.417639
1342.27,0.4226197
1346.127,0.4324745
1349.984,0.4511606
1353.841,0.4801314
1357.698,0.5065781
1361.555,0.5091549
1365.412,0.5075561
1369.269,0.5339382
1373.126,0.5760695
1376.983,0.5917289
1380.84,0.5641096
1384.698,0.5067527
1388.555,0.4531916
1392.412,0.4291799
1396.269,0.4199361
1400.126,0.4142197
1403.983,0.4116948
1407.84,0.4110152
1411.697,0.4121851
1415.554,0.4141341
1419.411,0.4182854
1423.269,0.4249092
1427.125,0.4383031
1430.983,0.4658356
1434.84,0.5001523
