"wavenumber","intensity"
674.9918,0.4503418
678.8489,0.4557118
682.706,0.455682
686.5631,0.4580703
690.4202,0.4586967
694.2773,0.4589704
698.1344,0.4605748
701.9915,0.461052
705.8486,0.4602663
709.7057,0.4587221
713.5628,0.4579971
717.4199,0.4570999
721.277,0.4547567
725.1341,0.4521662
728.9911,0.4492463
732.8483,0.4451245
736.7054,0.4411382
740.5624,0.4365146
744.4196,0.4322602
748.2767,0.4289721
752.1337,0.4272591
755.9908,0.4255317
759.848,0.4229682
763.705,0.4212326
767.5621,0.4190701
771.4193,0.4161123
775.2763,0.4133375
779.1334,0.4099351
782.9905,0.4069823
786.8476,0.4045866
790.7047,0.4018785
794.5618,0.3995731
798.4189,0.3986123
802.276,0.3987476
806.1331,0.3984847
809.9902,0.3988859
813.8473,0.3997826
817.7043,0.3994867
821.5615,0.3995094
825.4186,0.4001821
829.2756,0.3990728
833.1328,0.3971622
836.9899,0.3951077
840.8469,0.3932752
844.704,0.3935924
848.5612,0.3950206
852.4182,0.3949661
856.2753,0.3926979
860.1324,0.3898772
863.9895,0.3883967
867.8466,0.3881846
871.7037,0.388041
875.5608,0.3885022
879.4179,0.3897083
883.275,0.3897063
887.1321,0.3893825
890.9892,0.3896792
894.8463,0.3905104
898.7034,0.39146
902.5605,0.3915451
906.4176,0.3912083
910.2747,0.392048
914.1318,0.3941009
917.9889,0.3968435
921.8459,0.3993678
925.7031,0.4009179
929.5602,0.4020318
933.4172,0.402348
937.2744,0.402084
941.1315,0.4020495
944.9885,0.4025318
948.8456,0.4040394
952.7028,0.4054359
956.5598,0.4068493
960.4169,0.4091243
964.274,0.4119415
968.1311,0.416454
971.9882,0.4214785
975.8453,0.4237251
979.7024,0.4217401
983.5595,0.4184612
987.4166,0.418355
991.2737,0.4225422
995.1308,0.4273763
998.9879,0.4293893
1002.845,0.427158
1006.702,0.4233468
1010.559,0.4200709
1014.416,0.417358
1018.273,0.4150142
1022.13,0.4133696
1025.988,0.414431
1029.845,0.4181542
1033.702,0.421695
1037.559,0.4244255
1041.416,0.4262811
1045.273,0.4278081
1049.13,0.4294391
1052.987,0.4314498
1056.844,0.4339879
1060.701,0.436391
1064.559,0.4380463
1068.416,0.4389254
1072.273,0.4370639
1076.13,0.4333449
1079.987,0.4293874
1083.844,0.4246722
1087.701,0.4197595
1091.558,0.4160797
1095.415,0.4141263
1099.272,0.4141372
1103.13,0.4143238
1106.987,0.4134374
1110.844,0.4122635
1114.701,0.4118233
1118.558,0.4116703
1122.415,0.4121216
1126.272,0.4125621
1130.129,0.4123272
1133.986,0.4127782
1137.843,0.4144559
1141.7,0.4169677
1145.558,0.420846
1149.415,0.4260156
1153.272,0.431133
1157.129,0.435485
1160.986,0.4388796
1164.843,0.4406552
1168.7,0.4406285
1172.557,0.4379718
1176.414,0.4324083
1180.271,0.4267187
1184.129,0.4234142
1187.986,0.4223329
1191.843,0.4224063
1195.7,0.4237007
1199.557,0.4268998
1203.414,0.4318465
1207.271,0.4379637
1211.128,0.4448854
1214.985,0.4519073
1218.842,0.4575426
1222.699,0.4613077
1226.557,0.4641106
1230.414,0.4659779
1234.271,0.4665039
1238.128,0.4658417
1241.985,0.4639691
1245.842,0.4616754
1249.699,0.459995
1253.556,0.4591546
1257.413,0.4588296
1261.271,0.4592469
