"wavenumber","intensity"
674.9918,-0.1806973
678.8489,-0.1855051
682.706,-0.1854591
686.5631,-0.1866868
690.4202,-0.1853867
694.2773,-0.1858663
698.1344,-0.1862663
701.9915,-0.1867234
705.8486,-0.1874639
709.7057,-0.1872326
713.5628,-0.1868433
717.4199,-0.1900598
721.277,-0.1941766
725.1341,-0.1954554
728.9911,-0.197375
732.8483,-0.1993957
736.7054,-0.1999177
740.5624,-0.2001392
744.4196,-0.2005123
748.2767,-0.2027132
752.1337,-0.2058355
755.9908,-0.2089305
759.848,-0.2122088
763.705,-0.215427
767.5621,-0.2201609
771.4193,-0.2237511
775.2763,-0.2274307
779.1334,-0.2305518
782.9905,-0.2332226
786.8476,-0.2366765
790.7047,-0.239025
794.5618,-0.2419236
798.4189,-0.2453164
802.276,-0.2479328
806.1331,-0.2505715
809.9902,-0.2528132
813.8473,-0.2549657
817.7043,-0.2571507
821.5615,-0.2579142
825.4186,-0.2589708
829.2756,-0.260628
833.1328,-0.26182
836.9899,-0.2635635
840.8469,-0.2659793
844.704,-0.2679908
848.5612,-0.2704311
852.4182,-0.2741362
856.2753,-0.2758319
860.1324,-0.2766725
863.9895,-0.2766853
867.8466,-0.2768096
871.7037,-0.2774863
875.5608,-0.2777272
879.4179,-0.2792511
883.275,-0.2804534
887.1321,-0.2805706
890.9892,-0.280192
894.8463,-0.2809789
898.7034,-0.2830788
902.5605,-0.2861841
906.4176,-0.2902871
910.2747,-0.2930001
914.1318,-0.2935769
917.9889,-0.2926993
921.8459,-0.2918784
925.7031,-0.2917497
929.5602,-0.2919091
933.4172,-0.2918836
937.2744,-0.2930886
941.1315,-0.2945555
944.9885,-0.2955029
948.8456,-0.2966774
952.7028,-0.2977168
956.5598,-0.2986833
960.4169,-0.2988377
964.274,-0.2983701
968.1311,-0.2981698
971.9882,-0.2982431
975.8453,-0.2983892
979.7024,-0.2974624
983.5595,-0.2963308
987.4166,-0.2970164
991.2737,-0.2986974
995.1308,-0.2988694
998.9879,-0.2979903
1002.845,-0.2975437
1006.702,-0.2963649
1010.559,-0.2941666
1014.416,-0.2914209
1018.273,-0.2887581
1022.13,-0.2867157
1025.988,-0.28479
1029.845,-0.2824093
1033.702,-0.2794655
1037.559,-0.2755888
1041.416,-0.2717737
1045.273,-0.2707281
1049.13,-0.2724732
1052.987,-0.2737191
1056.844,-0.2735724
1060.701,-0.2737721
1064.559,-0.2738292
1068.416,-0.2733245
1072.273,-0.2723435
1076.13,-0.2713438
1079.987,-0.2709297
1083.844,-0.2720613
1087.701,-0.273701
1091.558,-0.2743235
1095.415,-0.2749945
1099.272,-0.2757095
1103.13,-0.2759516
1106.987,-0.2760583
1110.844,-0.2764076
1114.701,-0.2768148
1118.558,-0.277048
1122.415,-0.2769775
1126.272,-0.2773589
1130.129,-0.2780493
1133.986,-0.2784627
1137.843,-0.2789155
1141.7,-0.2795476
1145.558,-0.2795434
1149.415,-0.2782945
1153.272,-0.2773849
